"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 10:00","2020","05","02","10:00","17.7","","3.9","","40","","19","","15","","","M","99.16","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 11:00","2020","05","02","11:00","15.2","","3.5","","45","","19","","15","","","M","99.16","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 12:00","2020","05","02","12:00","16.0","","1.0","","36","","22","","17","","","M","99.08","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 13:00","2020","05","02","13:00","15.4","","2.1","","41","","19","","17","","","M","98.96","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 14:00","2020","05","02","14:00","13.9","","0.9","","41","","19","","24","","","M","98.86","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 15:00","2020","05","02","15:00","13.5","","3.5","","51","","19","","16","","","M","98.86","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 16:00","2020","05","02","16:00","12.6","","6.4","","66","","15","","14","","","M","98.62","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 17:00","2020","05","02","17:00","13.2","","7.4","","68","","14","","12","","","M","98.61","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 18:00","2020","05","02","18:00","12.1","","6.8","","70","","14","","11","","","M","98.52","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 19:00","2020","05","02","19:00","11.4","","5.9","","69","","14","","12","","","M","98.51","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 20:00","2020","05","02","20:00","10.4","","5.5","","71","","12","","13","","","M","98.46","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 21:00","2020","05","02","21:00","9.1","","4.6","","73","","9","","11","","","M","98.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 22:00","2020","05","02","22:00","8.7","","4.5","","75","","9","","9","","","M","98.32","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-02 23:00","2020","05","02","23:00","7.9","","4.7","","80","","34","","7","","","M","98.33","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 00:00","2020","05","03","00:00","7.3","","4.7","","83","","31","","7","","","M","98.31","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 01:00","2020","05","03","01:00","12.6","","7.5","","70","","33","","23","","","M","98.30","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 02:00","2020","05","03","02:00","10.9","","6.6","","74","","34","","15","","","M","98.25","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 03:00","2020","05","03","03:00","10.6","","6.7","","77","","30","","7","","","M","98.29","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 04:00","2020","05","03","04:00","7.8","","5.9","","88","","23","","5","","","M","98.34","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 05:00","2020","05","03","05:00","7.2","","5.4","","88","","26","","3","","","M","98.37","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 06:00","2020","05","03","06:00","8.9","","5.6","","80","","27","","2","","","M","98.42","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 07:00","2020","05","03","07:00","13.1","","5.7","","61","","24","","5","","","M","98.44","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 08:00","2020","05","03","08:00","15.2","","6.2","","55","","22","","9","","","M","98.46","","","","","","NA"
