"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 02:00","2020","05","07","02:00","4.5","","-6.7","","44","","23","","3","","","M","98.67","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 03:00","2020","05","07","03:00","6.1","","-7.9","","36","","32","","17","","","M","98.66","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 04:00","2020","05","07","04:00","6.1","","-8.3","","35","","29","","5","","","M","98.61","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 05:00","2020","05","07","05:00","6.4","","-8.3","","34","","30","","12","","","M","98.59","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 06:00","2020","05","07","06:00","7.8","","-7.8","","32","","28","","11","","","M","98.60","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 07:00","2020","05","07","07:00","7.6","","-5.0","","40","","30","","13","","","M","98.62","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 08:00","2020","05","07","08:00","8.9","","-5.1","","37","","32","","15","","","M","98.57","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 09:00","2020","05","07","09:00","11.4","","-5.3","","31","","29","","18","","","M","98.51","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 10:00","2020","05","07","10:00","11.3","","-3.8","","35","","33","","22","","","M","98.48","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 11:00","2020","05","07","11:00","10.2","","-2.0","","42","","33","","16","","","M","98.43","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 12:00","2020","05","07","12:00","9.9","","0.7","","52","","35","","27","","","M","98.38","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 13:00","2020","05","07","13:00","5.6","","2.4","","79","","35","","25","","","M","98.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 14:00","2020","05","07","14:00","4.9","","2.0","","81","","34","","21","","","M","98.50","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 15:00","2020","05","07","15:00","7.3","","2.5","","71","","33","","18","","","M","98.45","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 16:00","2020","05","07","16:00","8.4","","-1.3","","50","","32","","27","","","M","98.46","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 17:00","2020","05","07","17:00","8.9","","-1.7","","47","","31","","22","","","M","98.49","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 18:00","2020","05","07","18:00","8.8","","-4.3","","39","","32","","23","","","M","98.50","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 19:00","2020","05","07","19:00","6.7","","-3.7","","47","","34","","17","","","M","98.58","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 20:00","2020","05","07","20:00","4.7","","-3.1","","57","","35","","16","","","M","98.66","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 21:00","2020","05","07","21:00","3.8","","-2.8","","62","","33","","9","","","M","98.67","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 22:00","2020","05","07","22:00","3.5","","-2.8","","63","","28","","8","","","M","98.71","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-07 23:00","2020","05","07","23:00","2.6","","-2.5","","69","","23","","3","","","M","98.74","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 00:00","2020","05","08","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 01:00","2020","05","08","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 02:00","2020","05","08","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 03:00","2020","05","08","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 04:00","2020","05","08","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 05:00","2020","05","08","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 06:00","2020","05","08","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 07:00","2020","05","08","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 08:00","2020","05","08","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 09:00","2020","05","08","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 10:00","2020","05","08","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 11:00","2020","05","08","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 12:00","2020","05","08","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 13:00","2020","05","08","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 14:00","2020","05","08","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 15:00","2020","05","08","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 16:00","2020","05","08","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 17:00","2020","05","08","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 18:00","2020","05","08","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 19:00","2020","05","08","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 20:00","2020","05","08","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 21:00","2020","05","08","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 22:00","2020","05","08","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-08 23:00","2020","05","08","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 00:00","2020","05","09","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 01:00","2020","05","09","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 02:00","2020","05","09","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 03:00","2020","05","09","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 04:00","2020","05","09","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 05:00","2020","05","09","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 06:00","2020","05","09","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 07:00","2020","05","09","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 08:00","2020","05","09","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 09:00","2020","05","09","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 10:00","2020","05","09","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 11:00","2020","05","09","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 12:00","2020","05","09","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 13:00","2020","05","09","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 14:00","2020","05","09","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 15:00","2020","05","09","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 16:00","2020","05","09","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 17:00","2020","05","09","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 18:00","2020","05","09","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 19:00","2020","05","09","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 20:00","2020","05","09","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 21:00","2020","05","09","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 22:00","2020","05","09","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-09 23:00","2020","05","09","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 00:00","2020","05","10","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 01:00","2020","05","10","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 02:00","2020","05","10","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 03:00","2020","05","10","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 04:00","2020","05","10","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 05:00","2020","05","10","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 06:00","2020","05","10","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 07:00","2020","05","10","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 08:00","2020","05","10","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 09:00","2020","05","10","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 10:00","2020","05","10","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 11:00","2020","05","10","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 12:00","2020","05","10","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 13:00","2020","05","10","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 14:00","2020","05","10","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 15:00","2020","05","10","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 16:00","2020","05","10","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 17:00","2020","05","10","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 18:00","2020","05","10","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 19:00","2020","05","10","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 20:00","2020","05","10","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 21:00","2020","05","10","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 22:00","2020","05","10","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-10 23:00","2020","05","10","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 00:00","2020","05","11","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 01:00","2020","05","11","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 02:00","2020","05","11","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 03:00","2020","05","11","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 04:00","2020","05","11","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 05:00","2020","05","11","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 06:00","2020","05","11","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 07:00","2020","05","11","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 08:00","2020","05","11","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 09:00","2020","05","11","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 10:00","2020","05","11","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 11:00","2020","05","11","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 12:00","2020","05","11","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 13:00","2020","05","11","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 14:00","2020","05","11","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 15:00","2020","05","11","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 16:00","2020","05","11","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 17:00","2020","05","11","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 18:00","2020","05","11","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 19:00","2020","05","11","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 20:00","2020","05","11","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 21:00","2020","05","11","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 22:00","2020","05","11","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-11 23:00","2020","05","11","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 00:00","2020","05","12","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 01:00","2020","05","12","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 02:00","2020","05","12","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 03:00","2020","05","12","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 04:00","2020","05","12","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 05:00","2020","05","12","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 06:00","2020","05","12","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 07:00","2020","05","12","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 08:00","2020","05","12","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 09:00","2020","05","12","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 10:00","2020","05","12","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 11:00","2020","05","12","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 12:00","2020","05","12","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 13:00","2020","05","12","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 14:00","2020","05","12","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 15:00","2020","05","12","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 16:00","2020","05","12","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 17:00","2020","05","12","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 18:00","2020","05","12","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 19:00","2020","05","12","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 20:00","2020","05","12","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 21:00","2020","05","12","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 22:00","2020","05","12","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-12 23:00","2020","05","12","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 00:00","2020","05","13","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 01:00","2020","05","13","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 02:00","2020","05","13","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 03:00","2020","05","13","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 04:00","2020","05","13","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 05:00","2020","05","13","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 06:00","2020","05","13","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 07:00","2020","05","13","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 08:00","2020","05","13","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 09:00","2020","05","13","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 10:00","2020","05","13","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 11:00","2020","05","13","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 12:00","2020","05","13","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 13:00","2020","05","13","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 14:00","2020","05","13","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 15:00","2020","05","13","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 16:00","2020","05","13","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 17:00","2020","05","13","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 18:00","2020","05","13","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 19:00","2020","05","13","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 20:00","2020","05","13","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 21:00","2020","05","13","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 22:00","2020","05","13","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-13 23:00","2020","05","13","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 00:00","2020","05","14","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 01:00","2020","05","14","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 02:00","2020","05","14","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 03:00","2020","05","14","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 04:00","2020","05","14","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 05:00","2020","05","14","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 06:00","2020","05","14","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 07:00","2020","05","14","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 08:00","2020","05","14","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 09:00","2020","05","14","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 10:00","2020","05","14","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 11:00","2020","05","14","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 12:00","2020","05","14","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 13:00","2020","05","14","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 14:00","2020","05","14","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 15:00","2020","05","14","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 16:00","2020","05","14","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 17:00","2020","05","14","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 18:00","2020","05","14","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 19:00","2020","05","14","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 20:00","2020","05","14","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 21:00","2020","05","14","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 22:00","2020","05","14","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-14 23:00","2020","05","14","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 00:00","2020","05","15","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 01:00","2020","05","15","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 02:00","2020","05","15","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 03:00","2020","05","15","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 04:00","2020","05","15","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 05:00","2020","05","15","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 06:00","2020","05","15","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 07:00","2020","05","15","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 08:00","2020","05","15","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 09:00","2020","05","15","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 10:00","2020","05","15","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 11:00","2020","05","15","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 12:00","2020","05","15","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 13:00","2020","05","15","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 14:00","2020","05","15","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 15:00","2020","05","15","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 16:00","2020","05","15","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 17:00","2020","05","15","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 18:00","2020","05","15","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 19:00","2020","05","15","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 20:00","2020","05","15","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 21:00","2020","05","15","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 22:00","2020","05","15","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-15 23:00","2020","05","15","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 00:00","2020","05","16","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 01:00","2020","05","16","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 02:00","2020","05","16","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 03:00","2020","05","16","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 04:00","2020","05","16","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 05:00","2020","05","16","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 06:00","2020","05","16","06:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 07:00","2020","05","16","07:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 08:00","2020","05","16","08:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 09:00","2020","05","16","09:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 10:00","2020","05","16","10:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 11:00","2020","05","16","11:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 12:00","2020","05","16","12:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 13:00","2020","05","16","13:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 14:00","2020","05","16","14:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 15:00","2020","05","16","15:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 16:00","2020","05","16","16:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 17:00","2020","05","16","17:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 18:00","2020","05","16","18:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 19:00","2020","05","16","19:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 20:00","2020","05","16","20:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 21:00","2020","05","16","21:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 22:00","2020","05","16","22:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-16 23:00","2020","05","16","23:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-17 00:00","2020","05","17","00:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-17 01:00","2020","05","17","01:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-17 02:00","2020","05","17","02:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-17 03:00","2020","05","17","03:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-17 04:00","2020","05","17","04:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-17 05:00","2020","05","17","05:00"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-17 06:00","2020","05","17","06:00"
